year,MSA,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
2008,"Portland-South Portland-Biddeford, ME",52.3,8,29.6,10.6,79,14.9,10,245200,2.1
2008,"Portland-Vancouver-Beaverton, OR-WA",51,10,29.3,9,77.8,16,11.3,307400,2
2008,"Poughkeepsie-Newburgh-Middletown, NY",50,12.5,26.7,5.5,78.7,14.2,9,323800,2.7
2008,"Providence-New Bedford-Fall River, RI-MA",46.1,17.7,38.1,9.2,72,20.8,11.7,296000,2.6
2008,"Provo-Orem, UT",54,6.5,13.4,5.6,83.9,11.5,12.3,256500,0.6
2008,"Raleigh-Cary, NC",52.7,10.2,27,5.9,79.1,15.4,9.8,208500,4.7
2008,"Richmond, VA",47.8,14.8,26,6.9,72.3,21.4,10.6,239500,6.2
2008,"Riverside-San Bernardino-Ontario, CA",48.6,22,32.7,5.6,73,19,13.5,330400,5
2008,"Rochester, NY",47.6,11.4,35.6,9.2,74.9,18.9,12.3,125100,4.8
2008,"St. Louis, MO-IL",50.1,11.6,34.5,9.4,73.8,19.5,11.3,164500,8.3
2008,"Salt Lake City, UT",53.6,11.1,20.6,4.8,79,14,8.4,256000,1.9
2008,"San Antonio, TX",48.6,18.3,38,10.6,71.9,20.8,16,126300,7.7
2008,"San Diego-Carlsbad-San Marcos, CA",47.5,15,27.4,3.4,73.5,18.8,12.6,482900,3
2008,"San Francisco-Oakland-Fremont, CA",47,13.1,28.2,2.9,75.4,17.5,9.4,674800,8.1
2008,"San Jose-Sunnyvale-Santa Clara, CA",52,14.7,24,2.4,76.9,14.9,7.4,724000,2.9
2008,"Springfield, MA",44.3,13.3,39.7,12.9,69.6,23,14.1,223400,2.6
2008,"Stockton, CA",47.8,24.3,27.3,8.5,68.7,22.1,16.8,311300,5.1
2008,"Syracuse, NY",46.6,11.5,38.3,9.5,72.4,20.3,12.8,116900,4.8
2008,"Tampa-St. Petersburg-Clearwater, FL",48.1,13.5,35.4,6.6,73.5,18.7,12.6,193700,5.6
2008,"Toledo, OH",46.2,11.6,46.7,11.9,71.1,21.7,15.8,137400,3.1
2008,"Tucson, AZ",45.1,13.1,40.4,8.9,72.7,20.3,15.6,210200,9.5
2008,"Tulsa, OK",53.6,12.1,37.6,9.8,76.3,17.1,13.2,124200,8
2008,"Virginia Beach-Norfolk-Newport News, VA-NC",49.9,11,41.7,6.4,72,22.1,10.4,256400,6.4
2008,"Washington-Arlington-Alexandria, DC-VA-MD-WV",48.9,10.7,28.4,4.3,73.8,19.4,7.1,430600,7.5
2008,"Wichita, KS",52.9,11.1,40.2,9.8,74.5,19.1,12,118300,5.5
2008,"Worcester, MA",50.8,11,35.6,7.4,76,17.7,8.1,282800,1.9
2008,"Youngstown-Warren-Boardman, OH-PA",48.5,13,50.5,12.1,71.5,21.5,15.9,101500,7.2
2009,"Akron, OH",48.1,10.1,42.4,12,73.2,20.7,14.7,142500,4
2009,"Albany-Schenectady-Troy, NY",48.2,9.6,30,7,76.1,18.1,9.9,200900,2.8
2009,"Albuquerque, NM",47.2,13.6,44.1,10.6,69.2,20.8,15.9,182600,7.9
2009,"Allentown-Bethlehem-Easton, PA-NJ",52.1,13.3,44.1,8.1,77.9,16.3,10.2,216800,2.9
2009,"Atlanta-Sandy Springs-Marietta, GA",48,13.1,35.7,8.6,71.7,21.4,13.4,187300,5.9
2009,"Augusta-Richmond County, GA-SC",48.2,15.6,44,12.2,68,26.2,17.7,122200,7.8
