MSA_orig,MSA,MSA_abbr,year,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",BRIDGEPORT_CT,2007,53.7,11.9,19.7,3.5,78.2,16.5,6.6,499000,2.6
"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",BRIDGEPORT_CT,2008,54,11.9,25.2,5.2,77.9,16.2,8.5,501900,3.9
"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",BRIDGEPORT_CT,2009,53.1,11.3,25,5.7,78.5,15.9,8.3,460500,2
"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",BRIDGEPORT_CT,2010,51.7,12.1,27,8,77,17,9.4,441400,3.8
"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",BRIDGEPORT_CT,2011,50.7,11.1,26.1,8.6,78.1,17.1,9.4,440700,3.6
"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",BRIDGEPORT_CT,2012,51.1,8.9,18.6,9.2,75.7,18.4,8.9,403400,3.6
"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",BRIDGEPORT_CT,2013,50.7,11.4,25.6,9.3,76.8,17.2,9.6,420600,1.5
"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",BRIDGEPORT_CT,2014,49.9,10.2,24.9,9.4,75,18.4,8.9,408900,1.9
"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",BRIDGEPORT_CT,2015,50.3,9.9,26.8,9.7,76.5,17.5,8.9,420900,2.5
"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",BRIDGEPORT_CT,2016,50.1,9.9,30.6,9.2,76.5,17.5,8.6,423200,1.5
"Buffalo-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY",BUFFALO_NY,2006,47.1,12.9,38,9.6,72.8,20.9,14.2,105000,7.5
"Buffalo-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY",BUFFALO_NY,2007,45.8,12.1,39.7,10.3,71.3,21.8,13.5,108300,5.3
"Buffalo-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY",BUFFALO_NY,2008,47.5,11.3,45,11.2,72.6,20.9,13.3,115900,3.9
"Buffalo-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY",BUFFALO_NY,2009,44.9,11.2,35.1,13.8,70.4,22.9,14,116000,6.7
"Buffalo-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY",BUFFALO_NY,2010,44.8,10.4,38.2,14.9,70.2,22.6,14.4,120700,6.1
"Buffalo-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY",BUFFALO_NY,2011,44.7,10.7,41.7,15.7,69.6,22.9,14.8,120300,3.9
"Buffalo-Cheektowaga-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY",BUFFALO_NY,2013,45.2,9.6,37.2,15.9,70.7,20.8,14.9,123400,5.2
"Buffalo-Cheektowaga-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY",BUFFALO_NY,2014,43.7,9.3,42.6,16.4,69.1,23.3,14.8,125400,6.3
"Buffalo-Cheektowaga-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY",BUFFALO_NY,2015,44,9.5,45.1,16.5,71.4,22.9,15.7,135200,4.4
"Buffalo-Cheektowaga-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY",BUFFALO_NY,2016,44,8.6,35.4,14.9,70.3,22.3,13.8,142200,4.9
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",CAPE_CORAL_FL,2007,57,13.7,35.8,2.9,81.2,12.8,10.3,241100,8
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",CAPE_CORAL_FL,2008,57.6,12.1,22.2,4.5,80.5,13.3,10.6,211700,7.6
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",CAPE_CORAL_FL,2009,56.2,12.8,36.5,7.6,81.1,12.8,12.7,163600,6.6
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",CAPE_CORAL_FL,2010,51.3,14,47.7,10.3,78.2,15.6,17.4,149500,4.5
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",CAPE_CORAL_FL,2011,50.2,12.4,31.2,10.8,78.4,14.4,15.3,128300,6.1
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",CAPE_CORAL_FL,2012,50.8,13.1,52.1,13.2,76.7,16.6,15.3,137600,7
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",CAPE_CORAL_FL,2013,50.5,13.8,41.5,12,77.9,15.3,16.5,154800,3.8
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",CAPE_CORAL_FL,2014,48.7,13.7,44.1,11.7,75.1,18.6,16.3,163400,6.6
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",CAPE_CORAL_FL,2015,49.6,13,51.6,11.4,77.8,15.5,16.4,184200,4.4
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",CAPE_CORAL_FL,2016,49.8,12.6,51.7,10.1,78.6,14.5,12.9,210900,5.7
"Charleston-North Charleston-Summerville, SC","Charleston-North Charleston-Summerville, SC",CHARLESTON_SC,2008,47.2,12.5,47.2,8,71.5,22.1,13.9,208000,7.5
"Charleston-North Charleston-Summerville, SC","Charleston-North Charleston-Summerville, SC",CHARLESTON_SC,2009,45,12.9,49.5,10.1,70.3,22.7,15.6,192400,5.5
"Charleston-North Charleston-Summerville, SC","Charleston-North Charleston-Summerville, SC",CHARLESTON_SC,2010,46.5,12,38.6,12.7,71.6,23.1,16.2,192900,6
"Charleston-North Charleston, SC","Charleston-North Charleston-Summerville, SC",CHARLESTON_SC,2013,45.1,10.1,34,11.5,71.9,21.7,16.2,187700,7.2
"Charleston-North Charleston, SC","Charleston-North Charleston-Summerville, SC",CHARLESTON_SC,2014,47.5,10.3,37.7,10.8,71.6,22.5,15.1,189700,8
"Charleston-North Charleston, SC","Charleston-North Charleston-Summerville, SC",CHARLESTON_SC,2015,44.1,9.1,39.8,11,71,21.3,14.2,210400,8.5
"Charleston-North Charleston, SC","Charleston-North Charleston-Summerville, SC",CHARLESTON_SC,2016,45.5,11.2,26.8,11.2,73.9,20.8,13,213200,9.4
"Charlotte-Gastonia-Concord, NC-SC","Charlotte-Concord-Gastonia, NC-SC",CHARLOTTE_NC,2006,52.1,14.7,29.4,7.3,72.8,20.2,11.5,157600,8.3
"Charlotte-Gastonia-Concord, NC-SC","Charlotte-Concord-Gastonia, NC-SC",CHARLOTTE_NC,2007,52,14,28.7,7.6,74,19.2,11.4,167000,7.1
