MSA_orig,MSA,MSA_abbr,year,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
"Portland-Vancouver-Beaverton, OR-WA","Portland-Vancouver-Beaverton, OR-WA",PORTLAND_OR,2008,51,10,29.3,9,77.8,16,11.3,307400,2
"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Beaverton, OR-WA",PORTLAND_OR,2011,49.5,9.6,26.2,16.5,76.3,17,15,258800,2.1
"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Beaverton, OR-WA",PORTLAND_OR,2012,48.9,8.6,27.6,17.4,76,17,14,249300,2.4
"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Beaverton, OR-WA",PORTLAND_OR,2013,49.4,9.2,25.5,16.6,76.4,16.5,13.5,264000,1.4
"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Beaverton, OR-WA",PORTLAND_OR,2014,49.2,9,34.2,16.3,75.9,16.6,13.6,277100,2
"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Beaverton, OR-WA",PORTLAND_OR,2016,49.9,8.2,25.8,13.8,78.3,15,10.9,345000,1.7
"Poughkeepsie-Newburgh-Middletown, NY","Poughkeepsie-Newburgh-Middletown, NY",POUGHKEEPSIE_NY,2007,49.7,11.5,25.7,5.2,77.4,15.7,9.8,331800,3.4
"Poughkeepsie-Newburgh-Middletown, NY","Poughkeepsie-Newburgh-Middletown, NY",POUGHKEEPSIE_NY,2008,50,12.5,26.7,5.5,78.7,14.2,9,323800,2.7
"Poughkeepsie-Newburgh-Middletown, NY","Poughkeepsie-Newburgh-Middletown, NY",POUGHKEEPSIE_NY,2009,49.6,12,27.1,6.6,77.2,15.6,10.4,308000,1.9
"Poughkeepsie-Newburgh-Middletown, NY","Poughkeepsie-Newburgh-Middletown, NY",POUGHKEEPSIE_NY,2010,50.9,12.6,29.9,8.5,77.2,16.2,9.4,292200,4.6
"Poughkeepsie-Newburgh-Middletown, NY","Poughkeepsie-Newburgh-Middletown, NY",POUGHKEEPSIE_NY,2011,49.2,12.1,23.8,9.9,76.4,17.6,12.2,279400,2.4
"Providence-New Bedford-Fall River, RI-MA","Providence-New Bedford-Fall River, RI-MA",PROVIDENCE_RI,2008,46.1,17.7,38.1,9.2,72,20.8,11.7,296000,2.6
"Providence-New Bedford-Fall River, RI-MA","Providence-New Bedford-Fall River, RI-MA",PROVIDENCE_RI,2009,47.1,16.7,28.9,10.5,73,20.1,11.3,274700,2.9
"Providence-New Bedford-Fall River, RI-MA","Providence-New Bedford-Fall River, RI-MA",PROVIDENCE_RI,2010,44.1,17.4,41.8,15.1,70.2,23.1,13.7,266700,2.6
"Providence-Warwick, RI-MA","Providence-New Bedford-Fall River, RI-MA",PROVIDENCE_RI,2013,45.3,15.2,45.2,16.2,70.2,21.9,14.3,246100,2.5
"Providence-Warwick, RI-MA","Providence-New Bedford-Fall River, RI-MA",PROVIDENCE_RI,2014,45.4,15.4,45.2,17.2,70.1,22.3,13.6,249700,1.9
"Providence-Warwick, RI-MA","Providence-New Bedford-Fall River, RI-MA",PROVIDENCE_RI,2015,43.9,13.5,42.2,16.2,69.7,22.9,13.4,254500,2.2
"Providence-Warwick, RI-MA","Providence-New Bedford-Fall River, RI-MA",PROVIDENCE_RI,2016,44,12.4,48.2,15.8,70.5,22,12,265300,2.4
"Provo-Orem, UT","Provo-Orem, UT",PROVO_UT,2008,54,6.5,13.4,5.6,83.9,11.5,12.3,256500,0.6
"Provo-Orem, UT","Provo-Orem, UT",PROVO_UT,2009,54,6.8,6.7,6.7,85.8,9.9,14.1,237200,0.7
"Provo-Orem, UT","Provo-Orem, UT",PROVO_UT,2010,58.4,6.2,4.5,7.6,86.7,9.9,14.6,223000,1.1
"Provo-Orem, UT","Provo-Orem, UT",PROVO_UT,2011,58.3,7.1,8.2,9.1,84.6,10.4,14.1,213400,0.9
"Provo-Orem, UT","Provo-Orem, UT",PROVO_UT,2012,58.1,7.2,8.4,8.7,87.3,8.7,14.3,207800,0.7
"Provo-Orem, UT","Provo-Orem, UT",PROVO_UT,2013,57.5,6.7,7.6,9.4,86.1,10.8,13.7,220700,1.1
"Provo-Orem, UT","Provo-Orem, UT",PROVO_UT,2015,59.1,7.1,3.6,7.1,87.4,9.5,12.6,251600,0.3
"Provo-Orem, UT","Provo-Orem, UT",PROVO_UT,2016,57.2,5.5,14.9,7.1,86.4,9.3,11.6,277000,0.8
"Raleigh-Cary, NC","Raleigh-Cary, NC",RALEIGH_NC,2007,53.8,11.2,22.7,5.2,78.4,15.8,9.2,190000,3.6
"Raleigh-Cary, NC","Raleigh-Cary, NC",RALEIGH_NC,2008,52.7,10.2,27,5.9,79.1,15.4,9.8,208500,4.7
"Raleigh-Cary, NC","Raleigh-Cary, NC",RALEIGH_NC,2009,52.5,10.6,27.9,6.4,78.2,16.2,11.4,203700,2.3
"Raleigh-Cary, NC","Raleigh-Cary, NC",RALEIGH_NC,2010,52.1,9.1,28.1,7.8,76.6,18,12.9,207800,3.4
"Raleigh-Cary, NC","Raleigh-Cary, NC",RALEIGH_NC,2011,51.7,11.3,25.2,8.9,77.5,17.6,12.3,205500,2.6
"Raleigh, NC","Raleigh-Cary, NC",RALEIGH_NC,2013,50,10,30.7,8.9,74.9,18.6,12,202900,2.7
"Richmond, VA","Richmond, VA",RICHMOND_VA,2006,49.3,15.5,34.1,6.4,73,20.4,9.6,203400,9.9
"Richmond, VA","Richmond, VA",RICHMOND_VA,2007,48.9,14.7,30.3,6.6,72.4,21.6,10.4,222000,8.6
"Richmond, VA","Richmond, VA",RICHMOND_VA,2008,47.8,14.8,26,6.9,72.3,21.4,10.6,239500,6.2
"Richmond, VA","Richmond, VA",RICHMOND_VA,2009,48,14.6,37.3,8.3,71.7,22.1,11.2,230400,5.8
"Richmond, VA","Richmond, VA",RICHMOND_VA,2010,48.3,14,39.6,9.8,71.8,21.6,11.6,227400,7.2
"Richmond, VA","Richmond, VA",RICHMOND_VA,2011,45.3,13.5,40.4,10.8,71.4,22.5,12.4,213900,5.6
"Richmond, VA","Richmond, VA",RICHMOND_VA,2012,46.3,12.7,32.1,10.8,71.8,21.1,11.9,207400,6.8
"Richmond, VA","Richmond, VA",RICHMOND_VA,2013,44.5,12.2,37.8,12,69.5,24.3,13.9,204800,6.2
"Richmond, VA","Richmond, VA",RICHMOND_VA,2014,47,11.6,38.6,10.4,71.2,22.1,12.8,213900,6.2
"Richmond, VA","Richmond, VA",RICHMOND_VA,2015,45.5,10.7,36.4,10,71.6,21.1,11.8,219700,7.5
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",RIVERSIDE_CA,2006,49.9,22.6,32,4.4,73.3,18,13,395400,6.9
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",RIVERSIDE_CA,2007,49.5,21.5,33.7,4.1,73.3,18.4,11.8,396700,6.4
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",RIVERSIDE_CA,2008,48.6,22,32.7,5.6,73,19,13.5,330400,5
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",RIVERSIDE_CA,2009,48.7,21.4,38.3,8.2,72.2,18.8,15.4,244800,5.1
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",RIVERSIDE_CA,2010,48,21.8,37.9,9.8,71.2,20,17.1,225600,4.5
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",RIVERSIDE_CA,2011,47.9,21.1,35.3,11.4,70.9,20.3,18,217800,4.3
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",RIVERSIDE_CA,2012,46.7,21.4,39.4,12.5,70.5,20.2,19,214100,4.1
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",RIVERSIDE_CA,2013,46.3,20.4,45.9,13.2,70.3,20.5,18.2,234000,5
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",RIVERSIDE_CA,2014,46.6,20.3,35.1,13.5,70.8,19.9,18.7,272200,4.6
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",RIVERSIDE_CA,2015,46.3,20.3,39.9,13.4,69.9,20.8,17.5,299300,4.4
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",RIVERSIDE_CA,2016,46.2,20,40.2,13.6,70.4,20.4,16.4,318900,5.1
"Rochester, NY","Rochester, NY",ROCHESTER_NY,2006,47.6,12.1,33.3,9.2,73.9,19.4,12.6,116000,5.4
"Rochester, NY","Rochester, NY",ROCHESTER_NY,2007,47.9,12.3,34.1,9.1,73.9,19.6,13,122100,5.5
"Rochester, NY","Rochester, NY",ROCHESTER_NY,2008,47.6,11.4,35.6,9.2,74.9,18.9,12.3,125100,4.8
"Rochester, NY","Rochester, NY",ROCHESTER_NY,2009,47.9,11.4,36.1,10.9,75.2,18.7,12.2,129100,3.6
"Rochester, NY","Rochester, NY",ROCHESTER_NY,2010,46.8,11.6,36.5,11.7,72.1,21.4,14.2,127400,4.9
"Rochester, NY","Rochester, NY",ROCHESTER_NY,2011,46.7,10.9,45.2,14,71.8,21.4,15.5,129200,4.1
"Rochester, NY","Rochester, NY",ROCHESTER_NY,2012,44.9,9.6,39.6,13.7,70.5,22.3,14.4,130100,4
"Rochester, NY","Rochester, NY",ROCHESTER_NY,2013,45.8,9.7,42,13.8,71.7,21,14.7,135700,4.8
"Rochester, NY","Rochester, NY",ROCHESTER_NY,2014,44.9,10.2,39.6,14.1,71.9,21,14.1,133400,2.9
"Rochester, NY","Rochester, NY",ROCHESTER_NY,2015,45.7,10.3,30.7,14.4,72.1,20.7,13.8,138900,3.8
"Rochester, NY","Rochester, NY",ROCHESTER_NY,2016,44.9,9.9,46.4,14.2,71.7,21.7,13.9,138900,4.7
"Salt Lake City, UT","Salt Lake City, UT",SALT_LAKE_CITY_UT,2006,53.6,11,24.7,5.4,77.1,15.4,10.3,203300,2.2
"Salt Lake City, UT","Salt Lake City, UT",SALT_LAKE_CITY_UT,2007,54.3,11.4,19.6,4.3,79.8,14.1,8.4,241900,4.1
"Salt Lake City, UT","Salt Lake City, UT",SALT_LAKE_CITY_UT,2008,53.6,11.1,20.6,4.8,79,14,8.4,256000,1.9
"Salt Lake City, UT","Salt Lake City, UT",SALT_LAKE_CITY_UT,2009,53.7,11.1,21,6.7,79.9,13.9,9.9,243900,1.9
"Salt Lake City, UT","Salt Lake City, UT",SALT_LAKE_CITY_UT,2010,53.4,11.6,22.5,8.9,78.4,15.1,13.1,236800,2.9
"Salt Lake City, UT","Salt Lake City, UT",SALT_LAKE_CITY_UT,2011,53.1,10.8,17.9,9.7,77.6,15.7,13.9,226200,2.1
"Salt Lake City, UT","Salt Lake City, UT",SALT_LAKE_CITY_UT,2012,52.2,10.8,25.6,10.2,77.7,15.5,12.7,221100,2.2
"Salt Lake City, UT","Salt Lake City, UT",SALT_LAKE_CITY_UT,2013,52.5,9.8,21.5,8.8,77.9,14.6,12.4,225100,1.8
"Salt Lake City, UT","Salt Lake City, UT",SALT_LAKE_CITY_UT,2014,52.8,10.4,19.7,9.1,78.2,14.9,11.4,237900,2.2
"Salt Lake City, UT","Salt Lake City, UT",SALT_LAKE_CITY_UT,2015,50.8,9.8,26.1,6.9,77.6,15.2,10.2,251200,2.6
"Salt Lake City, UT","Salt Lake City, UT",SALT_LAKE_CITY_UT,2016,51.1,10,16.1,6.9,76.4,16,9.1,267800,3.9
"San Antonio, TX","San Antonio-New Braunfels, TX",SAN_ANTONIO_TX,2006,49.7,19.4,35.6,10.1,71.7,21.5,15.7,105600,7
"San Antonio, TX","San Antonio-New Braunfels, TX",SAN_ANTONIO_TX,2007,49.7,18.1,36.6,9.7,71.8,21,15.3,119200,7.1
"San Antonio, TX","San Antonio-New Braunfels, TX",SAN_ANTONIO_TX,2008,48.6,18.3,38,10.6,71.9,20.8,16,126300,7.7
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",SAN_ANTONIO_TX,2010,49.9,17.5,35,12.9,71.7,20.9,16.3,131700,4.7
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",SAN_ANTONIO_TX,2011,48.6,17.5,34.9,14.8,70.4,22.8,16.6,130100,5.1
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",SAN_ANTONIO_TX,2012,47.8,16.3,37,15.1,69.7,22,17.3,132100,5.1
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",SAN_ANTONIO_TX,2013,47.1,15.8,38.2,14.6,70.1,22.5,16.3,134000,4.6
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",SAN_ANTONIO_TX,2014,46.1,16,36.1,13,69.2,23,16.7,143900,5.8
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",SAN_ANTONIO_TX,2015,46,15.9,37.2,12.5,70.2,21.7,14.6,151400,5.4
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",SAN_ANTONIO_TX,2016,46.1,16.2,37,12.1,70.8,22.3,15,160200,7.7
"San Diego-Carlsbad-San Marcos, CA","San Diego-Carlsbad-San Marcos, CA",SAN_DIEGO_CA,2006,49.7,15.1,26,2.2,74.8,17.7,11.7,572000,4.3
"San Diego-Carlsbad-San Marcos, CA","San Diego-Carlsbad-San Marcos, CA",SAN_DIEGO_CA,2007,48.4,14.8,27.4,2.5,74.8,17.5,11.1,556500,3.6
"San Diego-Carlsbad-San Marcos, CA","San Diego-Carlsbad-San Marcos, CA",SAN_DIEGO_CA,2008,47.5,15,27.4,3.4,73.5,18.8,12.6,482900,3
"San Diego-Carlsbad-San Marcos, CA","San Diego-Carlsbad-San Marcos, CA",SAN_DIEGO_CA,2009,48.2,14.6,27.4,3.4,74.8,17.5,12.6,417700,2.5
"San Diego-Carlsbad-San Marcos, CA","San Diego-Carlsbad-San Marcos, CA",SAN_DIEGO_CA,2010,46.9,14.9,27.5,4.7,74.2,18.6,14.8,407000,2.2
"San Diego-Carlsbad-San Marcos, CA","San Diego-Carlsbad-San Marcos, CA",SAN_DIEGO_CA,2011,47,15.1,25.4,5.7,73.9,18.7,15.1,396500,2.6
"San Diego-Carlsbad, CA","San Diego-Carlsbad-San Marcos, CA",SAN_DIEGO_CA,2013,47,14.5,22,6.7,73.9,18.6,15.2,411000,2.2
"San Diego-Carlsbad, CA","San Diego-Carlsbad-San Marcos, CA",SAN_DIEGO_CA,2014,47.4,13.4,24.5,6.9,73.8,18.1,14.7,457300,2.3
"San Diego-Carlsbad, CA","San Diego-Carlsbad-San Marcos, CA",SAN_DIEGO_CA,2015,46,13.4,29.5,7.9,74.2,17.6,13.8,485900,2.5
"San Diego-Carlsbad, CA","San Diego-Carlsbad-San Marcos, CA",SAN_DIEGO_CA,2016,47.3,13.6,25.3,7.5,74.7,18,12.3,527600,3
"San Francisco-Oakland-Fremont, CA","San Francisco-Oakland-Fremont, CA",SAN_FRANCISCO_CA,2006,48.3,13.2,26,2.4,75.5,17,9.7,702600,8.9
"San Francisco-Oakland-Fremont, CA","San Francisco-Oakland-Fremont, CA",SAN_FRANCISCO_CA,2007,47.9,13.1,21.9,2.5,74.9,17.5,9.3,706100,8.8
"San Francisco-Oakland-Fremont, CA","San Francisco-Oakland-Fremont, CA",SAN_FRANCISCO_CA,2008,47,13.1,28.2,2.9,75.4,17.5,9.4,674800,8.1
"San Francisco-Oakland-Fremont, CA","San Francisco-Oakland-Fremont, CA",SAN_FRANCISCO_CA,2009,46.9,13.1,22.8,3.6,75.6,16.9,9.8,591600,6.8
"San Francisco-Oakland-Fremont, CA","San Francisco-Oakland-Fremont, CA",SAN_FRANCISCO_CA,2010,47.4,12.8,25.4,4.5,74.7,17.9,10.9,588300,6.2
"San Francisco-Oakland-Fremont, CA","San Francisco-Oakland-Fremont, CA",SAN_FRANCISCO_CA,2011,47.5,12.6,24.5,5.3,74.1,18.2,11.9,561200,6
"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Fremont, CA",SAN_FRANCISCO_CA,2013,47.5,11.9,23.6,6.3,74.9,17.7,11.5,602800,4.8
"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Fremont, CA",SAN_FRANCISCO_CA,2014,47.7,11.9,23,5.7,75.5,17.1,10.9,657300,4.6
"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Fremont, CA",SAN_FRANCISCO_CA,2015,48.1,11.8,22.6,5.9,75.9,16.7,10.6,718400,5.3
"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Fremont, CA",SAN_FRANCISCO_CA,2016,48.8,11.3,22.4,5.5,76.5,16.2,9.2,796100,5.1
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",SAN_JOSE_CA,2006,53.6,14.1,20.7,2.6,77.8,14.3,9,740500,2.3
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",SAN_JOSE_CA,2007,53.7,15.2,21.5,2.5,78,14.7,8.5,754400,2.9
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",SAN_JOSE_CA,2008,52,14.7,24,2.4,76.9,14.9,7.4,724000,2.9
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",SAN_JOSE_CA,2009,51.6,14.6,19.7,3.4,77.2,14.5,9.3,638300,2.5
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",SAN_JOSE_CA,2010,52.6,13.8,17.7,4.6,77.9,15,10.6,631400,1.4
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",SAN_JOSE_CA,2011,52.4,13.1,23.3,5.1,77.5,15.3,10.6,618100,3.3
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",SAN_JOSE_CA,2012,53.3,14.1,22.5,5.5,77.8,15,10.8,624200,3
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",SAN_JOSE_CA,2013,53.2,13.5,21.7,5.4,77.6,14.8,10.5,672900,3
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",SAN_JOSE_CA,2014,52,12.8,19.5,5.2,77.9,15,8.7,735400,2.3
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",SAN_JOSE_CA,2015,53.1,12.9,17.3,5.3,78.8,14,8.1,823700,2.3
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",SAN_JOSE_CA,2016,53.5,13,14.4,5.5,79.1,14,9.4,911900,2.9
"Santa Rosa, CA","Santa Rosa, CA",SANTA_ROSA_CA,2014,48.4,12.4,24.9,6.5,74.7,16.1,11.3,469400,1.4
"Santa Rosa, CA","Santa Rosa, CA",SANTA_ROSA_CA,2015,46.9,13,21,7.6,72.9,18.4,11.1,512100,1.8
"Santa Rosa, CA","Santa Rosa, CA",SANTA_ROSA_CA,2016,46.6,12.1,32.8,6.8,75.2,15.6,9.2,565200,2
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",SEATTLE_WA,2006,50.6,9.1,21.4,6.5,77.3,15.6,9.6,347500,3.6
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",SEATTLE_WA,2007,50.8,8.8,25.7,6.3,76.7,16,9.8,379100,3.1
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",SEATTLE_WA,2009,50.4,8.7,23.3,8.8,78,15.4,10.3,355400,2.6
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",SEATTLE_WA,2010,50.1,8.8,26.8,10.7,77.1,16,11.7,333100,2.3
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",SEATTLE_WA,2011,49.8,8.6,23.8,12.6,76.7,16.6,11.9,309600,2.1
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",SEATTLE_WA,2012,49.4,8.2,25.4,12.6,77.1,15.9,11.7,293700,2.9
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",SEATTLE_WA,2013,49.6,8.3,26.9,12.6,77,15.6,12.6,307900,2.2
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",SEATTLE_WA,2014,50.2,8.2,25,11.9,77.8,15.4,11.3,334700,2.7
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",SEATTLE_WA,2015,50.2,7.7,21.8,11.1,78.2,15.1,10.2,361500,3
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",SEATTLE_WA,2016,50.1,8,20.9,10.5,77.7,15.2,9.6,391500,2.7
"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA",SPOKANE_WA,2013,48.1,8.5,27.1,18.5,75.9,17.5,16.8,177600,3.7
"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA",SPOKANE_WA,2014,50.2,7.6,34.5,19.8,75.8,17.6,16.9,181600,2.8
"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA",SPOKANE_WA,2015,49.2,7.2,36.3,18.1,75.4,17.5,16.3,192400,3.8
"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA",SPOKANE_WA,2016,49.1,6.3,23.1,15.9,76.1,16.7,13,200200,2.9
"Springfield, MA","Springfield, MA",SPRINGFIELD_MA,2007,43.7,13.9,43.4,11,70.6,22,15.2,215700,4.5
"Springfield, MA","Springfield, MA",SPRINGFIELD_MA,2008,44.3,13.3,39.7,12.9,69.6,23,14.1,223400,2.6
"Springfield, MA","Springfield, MA",SPRINGFIELD_MA,2009,42.2,14.3,43,16.2,69.3,24.4,15.9,218300,3.4
"Springfield, MA","Springfield, MA",SPRINGFIELD_MA,2010,43.4,13.6,48,17.8,68,24.7,15.8,220700,3.7
"Springfield, MA","Springfield, MA",SPRINGFIELD_MA,2011,42.4,13.7,38.3,18.4,67,25.2,15.6,218600,3.6
"Springfield, MA","Springfield, MA",SPRINGFIELD_MA,2012,41.9,12.2,39.8,19.5,67.9,24.5,17.2,210500,2.1
"Springfield, MA","Springfield, MA",SPRINGFIELD_MA,2013,43.5,13.2,51.8,19.4,67.9,23.7,16.8,210900,4.5
"Springfield, MA","Springfield, MA",SPRINGFIELD_MA,2014,39.7,13.7,39.1,20.2,65.8,26.2,17.4,214300,2.5
"Springfield, MA","Springfield, MA",SPRINGFIELD_MA,2015,40,12.2,48.3,19.1,67.5,24.9,16.9,217200,3.5
"Springfield, MA","Springfield, MA",SPRINGFIELD_MA,2016,39.1,12.3,43.6,17.1,64.7,27,15.6,219800,2.9
"St. Louis, MO-IL","St. Louis, MO-IL",ST_LOUIS_MO,2006,50.2,13.3,38.7,8.6,74,20.1,11.5,152300,6.6
"St. Louis, MO-IL","St. Louis, MO-IL",ST_LOUIS_MO,2007,49.7,12.8,36.7,8.8,72.9,20.7,11,159300,7.7
"St. Louis, MO-IL","St. Louis, MO-IL",ST_LOUIS_MO,2008,50.1,11.6,34.5,9.4,73.8,19.5,11.3,164500,8.3
"St. Louis, MO-IL","St. Louis, MO-IL",ST_LOUIS_MO,2009,49,11.3,40.6,11.5,72.4,21.4,12.6,160500,7.4
"St. Louis, MO-IL","St. Louis, MO-IL",ST_LOUIS_MO,2010,48.8,11.1,35.6,12.5,73.1,20.4,13.3,161400,7.8
"St. Louis, MO-IL","St. Louis, MO-IL",ST_LOUIS_MO,2011,48.9,9.9,34.4,12.6,72.6,20.9,13.7,157000,7.6
"St. Louis, MO-IL","St. Louis, MO-IL",ST_LOUIS_MO,2012,48.2,10.2,41.5,13.9,72.6,20.8,14.3,155200,7.3
"St. Louis, MO-IL","St. Louis, MO-IL",ST_LOUIS_MO,2013,48.8,9.1,36.1,12.6,72,21,12.9,153000,7.2
"St. Louis, MO-IL","St. Louis, MO-IL",ST_LOUIS_MO,2014,47.9,9,37.1,11.9,72.9,20.1,13,156100,8.8
"St. Louis, MO-IL","St. Louis, MO-IL",ST_LOUIS_MO,2015,47.8,8.9,36.9,11.7,72.5,20.6,12.2,164200,10.5
"St. Louis, MO-IL","St. Louis, MO-IL",ST_LOUIS_MO,2016,48.1,8.2,39.2,10.5,72.6,20.5,11.4,169200,11.1
"Stockton, CA","Stockton-Lodi, CA",STOCKTON_CA,2007,49.9,23.4,25.8,5.9,71.9,17.2,14.1,399500,6.6
"Stockton, CA","Stockton-Lodi, CA",STOCKTON_CA,2008,47.8,24.3,27.3,8.5,68.7,22.1,16.8,311300,5.1
"Stockton, CA","Stockton-Lodi, CA",STOCKTON_CA,2009,49.9,25.4,41.7,9.4,71.1,19.1,15.7,221600,7.5
"Stockton, CA","Stockton-Lodi, CA",STOCKTON_CA,2010,47.7,23.5,44.4,11.2,68.3,22.2,19.2,213400,9.2
"Stockton, CA","Stockton-Lodi, CA",STOCKTON_CA,2011,46.8,22.8,40.3,13.2,69.5,21.1,18.1,196800,12.5
"Stockton-Lodi, CA","Stockton-Lodi, CA",STOCKTON_CA,2013,47.8,22.2,32.9,13.4,68.9,22,19.9,208900,6.6
"Stockton-Lodi, CA","Stockton-Lodi, CA",STOCKTON_CA,2014,46.7,22.4,39.3,15.1,68,21.9,20.9,250800,9.4
"Stockton-Lodi, CA","Stockton-Lodi, CA",STOCKTON_CA,2015,47.7,21.9,35.6,15.6,70.6,20.2,17.4,278400,8.9
"Stockton-Lodi, CA","Stockton-Lodi, CA",STOCKTON_CA,2016,46.2,22.9,45.3,15.8,67.4,21.4,14.4,316000,8.5
"Syracuse, NY","Syracuse, NY",SYRACUSE_NY,2007,48,12.5,43.5,7.5,74.7,18.5,12.7,111900,4
"Syracuse, NY","Syracuse, NY",SYRACUSE_NY,2008,46.6,11.5,38.3,9.5,72.4,20.3,12.8,116900,4.8
"Syracuse, NY","Syracuse, NY",SYRACUSE_NY,2009,46.3,10.7,33.1,11.5,71.6,20.4,13.6,119400,3.3
"Syracuse, NY","Syracuse, NY",SYRACUSE_NY,2010,45.6,10.5,39.5,12.6,72.1,21.8,14.3,122700,3.4
"Syracuse, NY","Syracuse, NY",SYRACUSE_NY,2011,45.1,11.8,45.8,13.4,72.5,21,16.2,125100,2.3
"Syracuse, NY","Syracuse, NY",SYRACUSE_NY,2012,44.6,10.4,46.8,14.4,71.3,20.7,15.3,124400,2.3
"Syracuse, NY","Syracuse, NY",SYRACUSE_NY,2013,45.1,10.1,41.4,14.7,71.5,20.9,16,124300,4.2
"Syracuse, NY","Syracuse, NY",SYRACUSE_NY,2014,44.7,10.5,52.5,15.6,70.5,21.5,16.5,126900,3.5
"Syracuse, NY","Syracuse, NY",SYRACUSE_NY,2015,44.1,9.6,32.9,14.5,72.1,20.3,15,131500,4.1
"Syracuse, NY","Syracuse, NY",SYRACUSE_NY,2016,44.7,10,45.2,14.6,73.6,18.4,14.7,133300,5.3
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",TAMPA_FL,2006,50.5,14,38.7,5.4,75,17.8,12.1,202300,4.9
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",TAMPA_FL,2007,49.3,13.5,33.4,5.4,74.2,18.5,11.3,203300,5.3
